Sub category 1:	sub category 2:	sub category 3:	ontology ID	label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master paramater	Entity subset	category subset
chromium	chromium isotope	chromium-53 isotope	BSM:0200037	chromium-53 isotope	chromium isotope						Add to CHEBI.					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
chromium	chromium isotope	chromium-54 isotope	BSM:0200038	chromium-54 isotope	chromium isotope						Add to CHEBI.					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cobalt			CHEBI:155865	cobalt												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cobalt	cobalt isotope		CHEBI:30514	cobalt isotope	cobalt										http://lod.bco-dmo.org/id/parameter/820057	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
cobalt	cobalt isotope	cobalt-59 isotope	BSM:0200039	cobalt-59 isotope	cobalt isotope						Add to CHEBI.					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
copper			CHEBI:37404	copper												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
copper	copper isotope		CHEBI:28694	copper isotope	copper										http://lod.bco-dmo.org/id/parameter/707579	http://bcodmo/sm#chemistry	http://bcodmo/sm#element
copper	copper isotope	copper-63 isotope	CHEBI:52630	copper-63 isotope	copper isotope						"Note for copper CHEBI has copper-63 as subclass to copper(O) under elemental copper not subclass to copper isotope, this pattern makes sense but is different then other CHEBI terms FIX."					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
copper	copper isotope	copper-65 isotope	BSM:0200040	copper-65 isotope	copper isotope						Add to CHEBI.					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
copper	copper valence		BSM:0200005	copper valence	copper						Possibly add to CHEBI.					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
copper	copper valence	copper(1+)	CHEBI:49552	copper(1+)	copper valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
copper	copper valence	copper(2+)	CHEBI:29036	copper(2+)	copper valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
copper	copper valence	copper(3+)	CHEBI:29037	copper(3+)	copper valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
copper	copper valence	copper(0)	CHEBI:30052	copper(0)	copper valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
dysprosium			BSM:0200041	dysprosium							"Add elemental dysprosium term to CHEBI, as subclass to dysprosium molecular entity."					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
dysprosium	dysprosium isotope		CHEBI:33377	dysprosium isotope	dysprosium											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
europium			CHEBI:37267	europium												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
europium	europium isotope		CHEBI:32999	europium isotope	europium											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
europium	europium valence		BSM:0200042	europium valence	europium						Add to CHEBI and make europium(2+) and europium(3+) ions subclasses to it.					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
europium	europium valence	europium(2+)	CHEBI:49588	europium(2+)	europium valence						"Not also subclass to elemental europium, like europium(3+) which should be it's sibling class."					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
europium	europium valence	europium(3+)	CHEBI:49591	europium(3+)	europium valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
erbium			BSM:0200043	erbium							"Add elemental erbium, as subclass to erbium molecular entity."					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
erbium	erbium isotope		CHEBI:33379	erbium isotope	erbium											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
fluorine			CHEBI:36892	fluorine												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
fluorine	fluorine isotope		CHEBI:24061	fluorine isotope	fluorine											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
